name,contrast,brightness,focus,sharpness,illumination
HA04_25.tif,0.9305047738551193,0.9457482736064933,0.05433850548126611,0.6537181464505543,0.5055818270843021
CS01_27.tif,0.5426820642128746,0.5384812274649899,0.030301737680856596,0.4653457186070109,0.7036388301826896
CA08_07.tif,0.7000594412900452,0.26902750533590597,0.07534736712083798,0.6912023134177573,0.7137396144771274
TA01_03.tif,0.7253912580984085,0.6882272212791744,0.0317780842660706,0.5335061287347991,0.9237402559512825
PS11_20.tif,0.27546153490888714,0.026232650897510906,0.023010421115444706,8.827606894212979e-05,0.04749497606267242
CA01_20.tif,0.7244935465521272,0.7671004569667785,0.15918629108995788,0.7969890109839525,0.8732148625229054
PA06_25.tif,0.39982829991170793,0.946852997634622,0.05981261358990615,0.04017962430504203,0.6521583707496299
TS04_26.tif,0.36438786965614695,0.7884342788621629,0.02862472122814467,0.3808730043196514,0.9618861569562788
TA04_23.tif,0.8597604094267075,0.9733875573865769,0.026349277096626794,0.678548215060261,0.6731545709260058
TA08_16.tif,0.6205500436377016,0.47902429549428793,0.0706977794722396,0.49411479106743955,0.9955693824177245
TA05_16.tif,0.551210516891829,0.2873701400972033,0.050354755727203715,0.3998232071059224,0.9313288014860609
TS07_03.tif,0.10420386911717845,0.05662892517143271,0.022459045636968083,0.23920336698423175,0.17720466240137647
KS01_13.tif,0.0918410057388813,0.02317296459109531,0.02117391280246826,0.19314086872367767,0.023983203693453383
KS01_25.tif,0.28793713257870224,0.10999139779684625,0.059860439763761125,0.47205309750999747,0.11548238785231009
TS12_14.tif,0.42763975530800435,0.7765619441764446,0.07618782796278975,0.5255654582554177,0.9395517030080256
PA05_12.tif,0.5800363960628908,0.43716186305925364,0.022489662088015193,0.03702247978915181,0.9115396274651418
KS04_20.tif,0.33816393951148827,0.5672617132827329,0.021381421775013,0.6105184295845317,0.5878254504822601
HS06_15.tif,0.9986218113099367,0.9635384191785628,0.07877603415130072,0.30381519912055566,0.5714237800360399
TS06_07.tif,0.7192221984379416,0.8743666183969978,0.03497087090767112,0.27475758798926353,0.8401268710049054
HS12_18.tif,0.7631891280815044,0.9817871156852981,0.1863888913375839,0.5835592085782146,0.7332244412157185
KA04_25.tif,0.5646739635149817,0.3779189514782769,0.12830906063499414,0.7115514763952969,0.29600294597237303
KS08_03.tif,0.49346870991227443,0.09647468898420497,0.02437246042138215,0.23374608459328178,0.12348607929929457
HA02_23.tif,0.9301257838007727,0.6885771193976871,0.14340007103780295,0.684531285813133,0.630485372625226
