name, eval
07_chl_id.tif,3
CA07_01.tif,3
CA07_02.tif,3
CA07_03.tif,3
CA07_04.tif,3
CA07_05.tif,3
CA07_06.tif,3
CA07_07.tif,3
CA07_08.tif,3
CA07_09.tif,3
CA07_10.tif,3
CA07_11.tif,3
CA07_12.tif,3
CA07_13.tif,3
CA07_14.tif,3
CA07_15.tif,3
CA07_16.tif,3
CA07_17.tif,3
CA07_18.tif,2
CA07_19.tif,2
CA07_20.tif,2
CA07_21.tif,1
CA07_22.tif,1
CA07_23.tif,1
CA07_24.tif,1
CA07_25.tif,1
CA07_26.tif,1
CA07_27.tif,1
CA07_28.tif,1
CA07_29.tif,1
CA07_30.tif,1
CS07_01.tif,1
CS07_02.tif,1
CS07_03.tif,3
CS07_04.tif,3
CS07_05.tif,2
CS07_06.tif,2
CS07_07.tif,2
CS07_08.tif,1
CS07_09.tif,1
CS07_10.tif,2
CS07_11.tif,1
CS07_12.tif,1
CS07_13.tif,1
CS07_14.tif,1
CS07_15.tif,1
CS07_16.tif,1
CS07_17.tif,1
CS07_18.tif,1
CS07_19.tif,2
CS07_20.tif,2
CS07_21.tif,2
CS07_22.tif,2
CS07_23.tif,2
CS07_24.tif,2
CS07_25.tif,2
CS07_26.tif,2
CS07_27.tif,1
CS07_28.tif,1
CS07_29.tif,1
CS07_30.tif,1
HA07_01.tif,1
HA07_02.tif,3
HA07_03.tif,3
HA07_04.tif,2
HA07_05.tif,2
HA07_06.tif,1
HA07_07.tif,1
HA07_08.tif,1
HA07_09.tif,3
HA07_10.tif,1
HA07_11.tif,3
HA07_12.tif,3
HA07_13.tif,2
HA07_14.tif,3
HA07_15.tif,2
HA07_16.tif,2
HA07_17.tif,2
HA07_18.tif,2
HA07_19.tif,3
HA07_20.tif,3
HA07_21.tif,3
HA07_22.tif,2
HA07_23.tif,3
HA07_24.tif,2
HA07_25.tif,3
HA07_26.tif,3
HA07_27.tif,3
HA07_28.tif,3
HA07_29.tif,3
HA07_30.tif,3
HS07_01.tif,3
HS07_02.tif,2
HS07_03.tif,2
HS07_04.tif,2
HS07_05.tif,2
HS07_06.tif,2
HS07_07.tif,3
HS07_08.tif,3
HS07_09.tif,3
HS07_10.tif,2
HS07_11.tif,2
HS07_12.tif,3
HS07_13.tif,2
HS07_14.tif,1
HS07_15.tif,1
HS07_16.tif,3
HS07_17.tif,3
HS07_18.tif,3
HS07_19.tif,3
HS07_20.tif,3
HS07_21.tif,3
HS07_22.tif,3
HS07_23.tif,3
HS07_24.tif,3
HS07_25.tif,3
HS07_26.tif,2
HS07_27.tif,2
HS07_28.tif,1
HS07_29.tif,1
HS07_30.tif,1
KA07_01.tif,2
KA07_02.tif,2
KA07_03.tif,2
KA07_04.tif,2
KA07_05.tif,2
KA07_06.tif,2
KA07_07.tif,2
KA07_08.tif,2
KA07_09.tif,2
KA07_10.tif,2
KA07_11.tif,1
KA07_12.tif,2
KA07_13.tif,2
KA07_14.tif,2
KA07_15.tif,2
