name, eval
02_aut_drvlic_new.tif,4
CA02_01.tif,3
CA02_02.tif,3
CA02_03.tif,3
CA02_04.tif,3
CA02_05.tif,2
CA02_06.tif,3
CA02_07.tif,3
CA02_08.tif,3
CA02_09.tif,3
CA02_10.tif,3
CA02_11.tif,3
CA02_12.tif,3
CA02_13.tif,2
CA02_14.tif,2
CA02_15.tif,2
CA02_16.tif,3
CA02_17.tif,3
CA02_18.tif,2
CA02_19.tif,1
CA02_20.tif,1
CA02_21.tif,1
CA02_22.tif,3
CA02_23.tif,2
CA02_24.tif,3
CA02_25.tif,2
CA02_26.tif,2
CA02_27.tif,3
CA02_28.tif,3
CA02_29.tif,2
CA02_30.tif,3
CS02_01.tif,2
CS02_02.tif,2
CS02_03.tif,2
CS02_04.tif,2
CS02_05.tif,2
CS02_06.tif,2
CS02_07.tif,2
CS02_08.tif,3
CS02_09.tif,2
CS02_10.tif,3
CS02_11.tif,2
CS02_12.tif,2
CS02_13.tif,2
CS02_14.tif,2
CS02_15.tif,2
CS02_16.tif,2
CS02_17.tif,2
CS02_18.tif,2
CS02_19.tif,3
CS02_20.tif,3
CS02_21.tif,2
CS02_22.tif,3
CS02_23.tif,2
CS02_24.tif,3
CS02_25.tif,2
CS02_26.tif,2
CS02_27.tif,2
CS02_28.tif,1
CS02_29.tif,1
CS02_30.tif,2
HA02_01.tif,3
HA02_02.tif,3
HA02_03.tif,3
HA02_04.tif,3
HA02_05.tif,2
HA02_06.tif,3
HA02_07.tif,4
HA02_08.tif,4
HA02_09.tif,4
HA02_10.tif,4
HA02_11.tif,3
HA02_12.tif,4
HA02_13.tif,4
HA02_14.tif,2
HA02_15.tif,3
HA02_16.tif,3
HA02_17.tif,2
HA02_18.tif,3
HA02_19.tif,3
HA02_20.tif,3
HA02_21.tif,3
HA02_22.tif,3
HA02_23.tif,2
HA02_24.tif,3
HA02_25.tif,3
HA02_26.tif,2
HA02_27.tif,2
HA02_28.tif,2
HA02_29.tif,3
HA02_30.tif,3
HS02_01.tif,1
HS02_02.tif,1
HS02_03.tif,1
HS02_04.tif,1
HS02_05.tif,1
HS02_06.tif,1
HS02_07.tif,3
HS02_08.tif,2
HS02_09.tif,3
HS02_10.tif,3
HS02_11.tif,3
HS02_12.tif,2
HS02_13.tif,1
HS02_14.tif,1
HS02_15.tif,1
HS02_16.tif,1
HS02_17.tif,1
HS02_18.tif,1
HS02_19.tif,1
HS02_20.tif,1
HS02_21.tif,1
HS02_22.tif,1
HS02_23.tif,1
HS02_24.tif,1
HS02_25.tif,1
HS02_26.tif,1
HS02_27.tif,1
HS02_28.tif,1
HS02_29.tif,1
HS02_30.tif,1
KA02_01.tif,2
KA02_02.tif,3
KA02_03.tif,2
KA02_04.tif,1
KA02_05.tif,1
KA02_06.tif,3
KA02_07.tif,2
KA02_08.tif,2
KA02_09.tif,2
KA02_10.tif,2
KA02_11.tif,1
KA02_12.tif,1
KA02_13.tif,1
KA02_14.tif,1
KA02_15.tif,1
KA02_16.tif,1
KA02_17.tif,1
KA02_18.tif,1
KA02_19.tif,1
KA02_20.tif,1
KA02_21.tif,1
KA02_22.tif,1
KA02_23.tif,2
KA02_24.tif,2
KA02_25.tif,1
KA02_26.tif,2
KA02_27.tif,1
KA02_28.tif,1
KA02_29.tif,2
KA02_30.tif,2
KS02_01.tif,2
KS02_02.tif,3
KS02_03.tif,3
KS02_04.tif,3
KS02_05.tif,3
KS02_06.tif,3
KS02_07.tif,3
KS02_08.tif,2
KS02_09.tif,2
KS02_10.tif,2
KS02_11.tif,2
KS02_12.tif,3
KS02_13.tif,2
KS02_14.tif,2
KS02_15.tif,1
KS02_16.tif,1
KS02_17.tif,2
KS02_18.tif,1
KS02_19.tif,2
KS02_20.tif,2
KS02_21.tif,3
KS02_22.tif,4
KS02_23.tif,2
KS02_24.tif,1
KS02_25.tif,2
KS02_26.tif,2
KS02_27.tif,2
KS02_28.tif,3
KS02_29.tif,1
KS02_30.tif,2
PA02_01.tif,1
PA02_02.tif,1
PA02_03.tif,1
PA02_04.tif,1
PA02_05.tif,1
PA02_06.tif,1
PA02_07.tif,1
PA02_08.tif,1
PA02_09.tif,1
PA02_10.tif,1
PA02_11.tif,1
PA02_12.tif,3
PA02_13.tif,2
PA02_14.tif,2
PA02_15.tif,1
PA02_16.tif,2
PA02_17.tif,1
PA02_18.tif,1
PA02_19.tif,1
PA02_20.tif,1
PA02_21.tif,1
PA02_22.tif,1
PA02_23.tif,1
PA02_24.tif,1
PA02_25.tif,1
PA02_26.tif,1
PA02_27.tif,1
PA02_28.tif,1
PA02_29.tif,1
PA02_30.tif,2
PS02_01.tif,1
PS02_02.tif,1
PS02_03.tif,1
PS02_04.tif,1
PS02_05.tif,1
PS02_06.tif,1
PS02_07.tif,1
PS02_08.tif,1
